Ball,Runs,Bowler,Batsman,Speed,Pitch Length,Pitch Line
44.1,0,A Phehlukwayo,C Woakes,131.2 km/h,good length,on off stump.
43.6,W,L Ngidi,M Ali,112.6 km/h,full length,going down leg.
43.5,1,L Ngidi,B Stokes,113.3 km/h,short length,just outside off stump.
43.4,1,L Ngidi,M Ali,115.2 km/h,short length,just outside off stump.
43.3,0,L Ngidi,M Ali,114.8 km/h,short length,outside off stump.
43.2,0,L Ngidi,M Ali,105.1 km/h,good length,outside off stump.
43.1,1,L Ngidi,B Stokes,113.1 km/h,short length,just outside off stump.
42.6,0,I Tahir,M Ali,92.3 km/h,good length,just outside off stump.
42.5,1,I Tahir,B Stokes,82.6 km/h,good length,outside off stump.
42.4,2,I Tahir,B Stokes,80.1 km/h,full toss,just outside off stump.
42.3,2,I Tahir,B Stokes,80.7 km/h,good length,on off stump.
42.2,1,I Tahir,M Ali,86.1 km/h,good length,just outside off stump.
42.1,1,I Tahir,B Stokes,86.6 km/h,good length,just outside off stump.
41.6,0,L Ngidi,M Ali,111.5 km/h,short length,just outside off stump.
41.5,1,L Ngidi,B Stokes,113.4 km/h,short length,outside off stump.
41.5,1Wd,L Ngidi,B Stokes,,,
41.4,1,L Ngidi,M Ali,119.5 km/h,good length,on middle stump.
41.3,0,L Ngidi,M Ali,134.3 km/h,short length,just outside off stump.
41.2,W,L Ngidi,J Buttler,113.0 km/h,short length,just outside off stump.
41.1,1,L Ngidi,B Stokes,113.4 km/h,full length,outside off stump.
40.6,2,I Tahir,J Buttler,79.5 km/h,good length,outside off stump.
40.5,1,I Tahir,B Stokes,92.1 km/h,good length,just outside off stump.
40.4,4,I Tahir,B Stokes,86.9 km/h,good length,outside off stump.
40.3,1,I Tahir,J Buttler,92.0 km/h,good length,just outside off stump.
40.2,2,I Tahir,J Buttler,94.3 km/h,full toss,on leg stump.
40.1,1,I Tahir,B Stokes,85.9 km/h,good length,just outside off stump.
39.6,1,L Ngidi,B Stokes,109.2 km/h,short length,outside off stump.
39.5,1,L Ngidi,J Buttler,114.9 km/h,short length,just outside off stump.
39.4,2,L Ngidi,J Buttler,129.6 km/h,short length,outside off stump.
39.3,1,L Ngidi,B Stokes,111.6 km/h,short length,on off stump.
39.2,1,L Ngidi,J Buttler,121.4 km/h,short length,just outside off stump.
39.1,2,L Ngidi,J Buttler,116.4 km/h,short length,on leg stump.
38.6,1,I Tahir,J Buttler,83.8 km/h,good length,on off stump.
38.5,0,I Tahir,J Buttler,82.1 km/h,good length,just outside off stump.
38.4,2,I Tahir,J Buttler,93.1 km/h,full length,outside off stump.
38.3,1,I Tahir,B Stokes,85.2 km/h,good length,just outside off stump.
38.2,1,I Tahir,J Buttler,84.9 km/h,good length,on off stump.
38.1,0,I Tahir,J Buttler,82.9 km/h,good length,outside off stump.
37.6,0,K Rabada,B Stokes,118.7 km/h,short length,outside off stump.
37.5,1,K Rabada,J Buttler,141.8 km/h,short length,outside off stump.
37.4,1,K Rabada,B Stokes,120.4 km/h,short length,outside off stump.
37.3,1,K Rabada,J Buttler,138.2 km/h,good length,just outside off stump.
37.2,1,K Rabada,B Stokes,138.4 km/h,short length,on middle stump.
37.1,1,K Rabada,J Buttler,135.8 km/h,short length,just outside off stump.
36.6,0,I Tahir,B Stokes,82.5 km/h,full length,outside off stump.
36.5,W,I Tahir,E Morgan,84.0 km/h,good length,just outside off stump.
36.4,1,I Tahir,B Stokes,91.2 km/h,full toss,just outside off stump.
36.3,0,I Tahir,B Stokes,79.8 km/h,full toss,just outside off stump.
36.2,1,I Tahir,E Morgan,87.4 km/h,short length,on off stump.
36.1,2,I Tahir,E Morgan,93.6 km/h,good length,just outside off stump.
35.6,0,D Pretorius,B Stokes,126.4 km/h,full length,just outside off stump.
35.5,4,D Pretorius,B Stokes,131.2 km/h,full length,on off stump.
35.4,4,D Pretorius,B Stokes,126.7 km/h,good length,on middle stump.
35.3,0,D Pretorius,B Stokes,131.0 km/h,short length,on leg stump.
35.2,4,D Pretorius,B Stokes,107.2 km/h,good length,outside off stump.
35.1,1,D Pretorius,E Morgan,130.0 km/h,good length,on middle stump.
34.6,0,A Phehlukwayo,B Stokes,126.8 km/h,full toss,just outside off stump.
34.5,1,A Phehlukwayo,E Morgan,127.5 km/h,short length,on leg stump.
34.4,1,A Phehlukwayo,B Stokes,130.3 km/h,short length,on middle stump.
34.3,2,A Phehlukwayo,B Stokes,133.5 km/h,short length,going down leg.
34.2,4,A Phehlukwayo,B Stokes,133.0 km/h,good length,outside off stump.
34.1,0,A Phehlukwayo,B Stokes,131.3 km/h,good length,outside off stump.
33.6,1,D Pretorius,B Stokes,128.2 km/h,good length,on off stump.
33.5,1,D Pretorius,E Morgan,128.8 km/h,full length,just outside off stump.
33.4,1,D Pretorius,B Stokes,123.2 km/h,good length,going down leg.
33.3,1,D Pretorius,E Morgan,129.0 km/h,good length,just outside off stump.
33.2,1,D Pretorius,B Stokes,125.5 km/h,good length,going down leg.
33.1,0,D Pretorius,B Stokes,124.0 km/h,full length,going down leg.
32.6,0,A Phehlukwayo,E Morgan,133.1 km/h,full length,just outside off stump.
32.5,0,A Phehlukwayo,E Morgan,130.6 km/h,short length,on middle stump.
32.4,0,A Phehlukwayo,E Morgan,130.8 km/h,full length,on off stump.
32.3,4,A Phehlukwayo,E Morgan,132.3 km/h,short length,on off stump.
32.2,0,A Phehlukwayo,E Morgan,128.2 km/h,good length,on middle stump.
32.1,1,A Phehlukwayo,B Stokes,130.8 km/h,good length,on off stump.
31.6,0,A Markram,E Morgan,93.3 km/h,good length,just outside off stump.
31.5,6,A Markram,E Morgan,82.2 km/h,good length,on leg stump.
31.4,0,A Markram,E Morgan,81.9 km/h,good length,on middle stump.
31.3,1,A Markram,B Stokes,87.1 km/h,full length,on off stump.
31.2,4,A Markram,B Stokes,93.6 km/h,full length,outside off stump.
31.1,0,A Markram,B Stokes,88.9 km/h,good length,going down leg.
30.6,0,A Phehlukwayo,E Morgan,131.0 km/h,good length,on middle stump.
30.5,0,A Phehlukwayo,E Morgan,131.1 km/h,short length,on middle stump.
30.4,0,A Phehlukwayo,E Morgan,131.2 km/h,good length,on middle stump.
30.4,1Wd,A Phehlukwayo,E Morgan,,,
30.3,0,A Phehlukwayo,E Morgan,125.3 km/h,good length,on leg stump.
30.2,0,A Phehlukwayo,E Morgan,131.4 km/h,good length,outside off stump.
30.1,0,A Phehlukwayo,E Morgan,129.5 km/h,good length,on middle stump.
29.6,1,A Markram,E Morgan,83.3 km/h,short length,on middle stump.
29.5,0,A Markram,E Morgan,93.8 km/h,good length,outside off stump.
29.4,1,A Markram,B Stokes,88.7 km/h,full length,on off stump.
29.3,1,A Markram,E Morgan,92.9 km/h,good length,outside off stump.
29.2,0,A Markram,E Morgan,93.9 km/h,good length,on middle stump.
29.1,0,A Markram,E Morgan,81.8 km/h,good length,on middle stump.
28.6,1,I Tahir,E Morgan,80.0 km/h,full length,just outside off stump.
28.5,1,I Tahir,B Stokes,83.3 km/h,good length,on leg stump.
28.4,4,I Tahir,B Stokes,91.4 km/h,good length,just outside off stump.
28.3,0,I Tahir,B Stokes,82.7 km/h,good length,just outside off stump.
