,inningNumber,oversActual,pitchLine,pitchLength,isFour,isSix,isWicket,byes,legbyes,wides,noballs,run,totalRuns,totalWickets,shotType,time_of_day,Ground Name,Batsman_Name,Batsman_Role,Batsman_Batting_Style,Batsman_Playing_Role,Bowler_Name,Bowler_Role,Bowler_Bowling_Style,Bowler_Playing_Role
15703,2,15.3,2,4,False,False,False,0,0,0,0,0,84,8,1,2,14,210,2,1,0,143,1,8,3
15704,2,15.4,1,4,True,False,False,0,0,0,0,4,84,8,11,2,14,210,2,1,0,143,1,8,3
15705,2,15.5,1,0,False,False,False,0,0,0,0,1,88,8,4,2,14,210,2,1,0,143,1,8,3
15706,2,15.6,0,2,False,False,False,0,0,1,0,1,89,8,7,2,14,64,2,1,3,143,1,8,3
15707,2,15.6,2,4,False,False,False,0,0,0,0,1,90,8,18,2,14,64,2,1,3,143,1,8,3
15708,2,16.1,3,2,False,False,False,0,0,1,0,1,91,8,7,2,14,64,2,1,3,246,1,1,3
15709,2,16.1,1,2,False,False,False,0,0,0,0,0,92,8,12,2,14,64,2,1,3,246,1,1,3
15710,2,16.2,2,2,False,False,False,0,0,0,0,1,92,8,12,2,14,64,2,1,3,246,1,1,3
15711,2,16.3,0,4,False,False,False,0,0,0,0,0,93,8,12,2,14,210,2,1,0,246,1,1,3
15712,2,16.4,2,0,False,False,False,0,0,0,0,0,93,8,17,2,14,210,2,1,0,246,1,1,3
15713,2,16.5,2,5,False,False,False,0,0,0,0,0,93,8,12,2,14,210,2,1,0,246,1,1,3
15714,2,16.6,0,3,False,False,True,0,0,0,0,0,93,8,11,2,14,210,2,1,0,246,1,1,3
15715,2,17.1,0,4,False,False,False,0,0,1,0,1,93,9,11,2,14,64,2,1,3,102,1,6,3
15716,2,17.1,2,2,False,False,False,0,0,0,0,0,94,9,3,2,14,64,2,1,3,102,1,6,3
15717,2,17.2,2,4,False,False,False,0,0,0,0,1,94,9,12,2,14,64,2,1,3,102,1,6,3
15718,2,17.3,1,4,False,False,False,0,0,0,0,0,95,9,12,2,14,65,2,0,3,102,1,6,3
15719,2,17.4,0,4,True,False,False,0,0,0,0,4,95,9,11,2,14,65,2,0,3,102,1,6,3
15720,2,17.5,1,4,False,False,False,0,0,0,0,0,99,9,1,2,14,65,2,0,3,102,1,6,3
